INFO  - 2014-11-30 02:38:19.572; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-30 02:38:19.572; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-30 02:38:19.572; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-30 02:38:19.572; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-30 02:38:19.573; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-11-30 02:38:19.575; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-11-30 02:38:19.576; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-11-30 02:38:19.582; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-11-30 02:38:19.582; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.583; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.584; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.595; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-30 02:38:19.597; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-30 02:38:19.597; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-30 02:38:19.598; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-30 02:38:19.598; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-30 02:38:19.609; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-11-30 02:38:19.609; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-11-30 02:38:19.614; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-30 02:38:19.614; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-30 02:38:19.619; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1b6e5ef3[collection1] main
INFO  - 2014-11-30 02:38:19.624; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.624; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf}
INFO  - 2014-11-30 02:38:19.625; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.628; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.628; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-11-30 02:38:19.628; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-11-30 02:38:19.628; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.629; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.629; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-11-30 02:38:19.630; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-11-30 02:38:19.630; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-11-30 02:38:19.630; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.631; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-30 02:38:19.631; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
